tweet_id,retweet_count,favorite_count 
840728873075638272,17261,0
840698636975636481,2,185
840696689258311684,1043,12840
840632337062862849,1872,9379
840370681858686976,4857,17204
840268004936019968,6129,20162
839990271299457024,2454,14043
839549326359670784,8323,28795
839290600511926273,154,0
839239871831150596,6994,28468
838952994649550848,4252,20522
838921590096166913,2222,11696
838916489579200512,36,0
838831947270979586,11820,0
838561493054533637,1418,11435
838476387338051585,5151,23648
838201503651401729,10803,0
838150277551247360,354,1761
838085839343206401,0,147
838083903487373313,3379,18468
837820167694528512,8423,35838
837482249356513284,471,4017
837471256429613056,2457,13404
837366284874571778,5676,22155
837110210464448512,2560,16796
836989968035819520,2466,13356
836753516572119041,4950,20167
836677758902222849,2381,13230
836648853927522308,586,0
836397794269200385,29670,0
836380477523124226,3178,15456
836260088725786625,4606,22308
836001077879255040,4608,20045
835685285446955009,8754,0
835574547218894849,3887,18688
835536468978302976,1826,0
835309094223372289,22589,0
835297930240217089,3225,17250
835264098648616962,1826,8123
835246439529840640,78,2193
835172783151792128,6167,27463
835152434251116546,3244,23599
834931633769889797,1771,11388
834786237630337024,5901,22254
834574053763584002,2723,14375
834477809192075265,11468,0
834458053273591808,1804,10079
834209720923721728,5145,21659
834167344700198914,3910,16570
834089966724603904,2285,10557
834086379323871233,2388,13730
833863086058651648,2590,14101
833826103416520705,4018,18918
833732339549220864,232,0
833722901757046785,3458,21789
833479644947025920,2228,15627
833124694597443584,5214,21239
832998151111966721,2387,13979
832769181346996225,40,0
832757312314028032,3900,17707
832682457690300417,3164,12497
832645525019123713,559,3077
832636094638288896,3010,16684
832397543355072512,2396,12567
832369877331693569,3442,18070
832273440279240704,2514,11908
832215909146226688,6673,0
832215726631055365,10120,0
832088576586297345,2,70
832040443403784192,10476,0
832032802820481025,5001,18767
831939777352105988,6623,25264
831926988323639298,35,359
831911600680497154,7041,29133
831670449226514432,1953,11003
831650051525054464,2093,7570
831552930092285952,2475,9483
831322785565769729,1648,9703
831315979191906304,1207,6888
831309418084069378,2634,12364
831262627380748289,2214,12552
830956169170665475,1615,8401
830583320585068544,18169,70551
830173239259324417,6160,0
830097400375152640,3249,10366
829878982036299777,5426,0
829861396166877184,2114,12893
829501995190984704,11468,33477
829449946868879360,2200,11042
829374341691346946,10074,36528
829141528400556032,8016,25852
829011960981237760,17563,55956
828801551087042563,3673,0
828770345708580865,6348,26997
828708714936930305,12148,38656
828650029636317184,1460,10037
828409743546925057,1247,6641
828408677031882754,1390,8079
828381636999917570,2411,13333
828376505180889089,1150,7797
828372645993398273,3187,13242
828361771580813312,184,2318
828046555563323392,3100,12416
828011680017821696,2329,10942
827933404142436356,5658,21279
827653905312006145,3251,16285
827600520311402496,1028,7829
827324948884643840,3325,16769
827199976799354881,2430,11184
826958653328592898,5426,22816
826848821049180160,11076,38575
826615380357632002,4282,0
826598799820865537,276,5406
826598365270007810,2551,10660
826476773533745153,4545,19485
826240494070030336,2810,14062
826204788643753985,1010,5171
826115272272650244,3405,16578
825876512159186944,2028,11079
825829644528148480,2698,13487
825535076884762624,18665,55146
825147591692263424,4969,19390
825120256414846976,1390,0
825026590719483904,1390,6731
824796380199809024,5969,0
824775126675836928,3824,15872
824663926340194305,1888,10683
824325613288833024,11288,12489
824297048279236611,4204,15954
824025158776213504,641,5057
823939628516474880,2949,11283
823719002937630720,12200,0
823699002998870016,2629,13342
823581115634085888,2876,13823
823333489516937216,27,738
823322678127919110,4370,16691
823269594223824897,10715,0
822975315408461824,3741,18333
822872901745569793,47711,140447
822859134160621569,2491,14028
822647212903690241,6977,0
822610361945911296,3230,15680
822489057087389700,6977,19284
822462944365645825,15953,30225
822244816520155136,10715,37168
822163064745328640,5236,0
821886076407029760,2549,12067
821813639212650496,3637,0
821765923262631936,1816,8933
821522889702862852,1932,8517
821421320206483457,6096,0
821407182352777218,4736,12492
821153421864615936,10,270
821149554670182400,2195,9261
821107785811234820,2318,10186
821044531881721856,2496,13466
820837357901512704,7308,0
820749716845686786,10803,33529
820690176645140481,3514,12964
820494788566847489,617,0
820446719150292993,2820,0
820314633777061888,617,3540
820078625395449857,6857,21077
820013781606658049,1291,0
819952236453363712,1291,5647
819924195358416896,5276,13681
819711362133872643,3421,14309
819588359383371776,2146,10170
819347104292290561,1316,7681
819238181065359361,440,2426
819227688460238848,7308,24556
